"","�..linie","richtung","betriebsdatum","fahrzeug","kurs","seq_von","halt_diva_von","halt_punkt_diva_von","halt_kurz_von1","datum_von","soll_an_von","ist_an_von","soll_ab_von","ist_ab_von","seq_nach","halt_diva_nach","halt_punkt_diva_nach","halt_kurz_nach1","datum_nach","soll_an_nach","ist_an_nach1","soll_ab_nach","ist_ab_nach","fahrt_id","fahrweg_id","fw_no","fw_typ","fw_kurz","fw_lang","umlauf_von","halt_id_von","halt_id_nach","halt_punkt_id_von","halt_punkt_id_nach","arrivelate"
"780",33,1,"24.09.15",10168,1,22,2104,10,"ROSE","24.09.15",70140,70191,70158,70202,23,799,10,"EWYS","24.09.15",70224,70261,70236,70279,352925,11671,1,1,1,"BTIE - TRIE",104928,2749,1574,6541,3575,37
"781",33,1,"24.09.15",10542,2,20,1122,11,"HARP","24.09.15",75576,75554,75618,75568,21,1162,12,"HERD","24.09.15",75690,75643,75690,75651,352957,11820,7,1,7,"BTIE - HERD für Einfahrt via Li 31",103255,2526,2868,5795,6843,-47
"782",46,1,"22.09.15",10145,8,5,2364,10,"SEGA","23.09.15",1896,1949,1914,1949,6,2402,10,"SING","23.09.15",1932,1975,1950,1975,353644,12511,19,1,19,"RUET - HARP für Einfahrt",104516,2587,2831,6329,6753,43
"783",5,1,"23.09.15",2077,2,8,615,1,"BURK","23.09.15",32028,31981,32088,31995,9,2055,0,"RENT","23.09.15",32154,32086,32178,32107,350087,4519,3,1,3,"KFLU - LAUB",103955,2590,2814,6339,6716,-68
"784",5,2,"23.09.15",2088,3,2,1519,1,"LAUB","23.09.15",62736,62785,62760,62805,3,2550,1,"SAAL","23.09.15",62796,62855,62820,62866,350148,4520,4,1,4,"LAUB - KFLU",103698,2550,1854,6225,4161,59
"785",10,1,"23.09.15",3070,3,18,1334,0,"IRCH","23.09.15",56892,56887,56922,56926,19,1507,0,"LANM","23.09.15",56970,56988,56994,57008,46295,3747,1,1,1,"FRAF - GESS",91371,1543,2315,3463,5295,18
"786",10,2,"23.09.15",3067,16,25,6507,1,"RBAU07","23.09.15",48132,48438,48150,48450,26,2758,1,"UNTR07","23.09.15",48204,48519,48222,48530,47376,3748,2,1,2,"GESS - FRAF",90499,1378,751,3033,1673,315
"787",66,1,"23.09.15",10602,6,8,1354,20,"JUGI","23.09.15",46788,46835,46800,46839,9,1660,20,"MORG","23.09.15",46854,46906,46896,46939,51838,4761,1,1,1,"SIHS - NEUB",91873,2565,1511,6264,3351,52
"788",5,1,"23.09.15",2093,1,10,3026,1,"ENGE","23.09.15",25434,25431,25476,25445,11,199,0,"BEDE","23.09.15",25536,25510,25566,25526,350831,4519,3,1,3,"KFLU - LAUB",103687,1893,1852,4244,4156,-26
"789",2,1,"23.09.15",3002,3,13,2556,0,"STAU","23.09.15",24216,24309,24306,24343,14,2396,0,"SIHS","23.09.15",24372,24473,24408,24489,349611,4399,1,1,1,"FARB - BTIE",104474,1502,2657,3312,6066,101
"790",75,2,"23.09.15",10415,6,3,3789,21,"BOLL","23.09.15",51540,51565,51558,51574,4,3804,21,"NBRU","23.09.15",51594,51617,51612,51629,53552,13276,52,1,52,"BOEN - SEPL neue Fz.",93879,2763,2609,6576,5943,23
"791",35,1,"22.09.15",10332,2,6,92,20,"AMSU","22.09.15",31686,31726,31710,31737,7,1581,20,"LOOG","22.09.15",31764,31775,31788,31781,353174,4285,1,1,1,"SOLP - DUNK",104448,2530,2537,5855,5877,11
"792",786,2,"22.09.15",11013,13,6,2335,51,"SHUA","22.09.15",23412,23420,23430,23420,7,446,50,"BGER","22.09.15",23550,23552,23574,23560,68126,12222,4,1,4,"BSCH - KLUS ohne PFAF",93918,2471,2431,5665,5569,2
"793",14,1,"21.09.15",3088,9,6,2151,0,"SALE","21.09.15",39786,39778,39810,39792,7,465,0,"BERN","21.09.15",39846,39840,39870,39852,47582,5275,1,1,1,"SEEB - TRIE",90419,2313,2276,5289,5188,-6
"794",80,2,"21.09.15",10536,9,23,1000,22,"GLAU","21.09.15",86160,86096,86184,86118,24,3451,21,"MOTT","21.09.15",86232,86193,86250,86196,435502,4827,4,1,4,"TRIE - BOEN",106579,2454,2586,5624,6327,-39
"795",89,2,"21.09.15",10249,1,18,542,20,"BRIS","21.09.15",22362,22487,22374,22494,19,3022,10,"BALT","21.09.15",22428,22584,22500,22611,55990,8631,2,1,2,"SIHC - HEIZ",92774,2533,2540,5863,5888,156
"796",89,2,"21.09.15",10618,3,14,867,21,"FLUR","21.09.15",36426,36501,36444,36509,15,1364,21,"KAPP","21.09.15",36486,36570,36528,36570,56028,8631,2,1,2,"SIHC - HEIZ",92308,2769,2244,6589,5092,84
"797",14,1,"20.09.15",2053,4,14,2474,0,"STAM","20.09.15",75114,75141,75144,75154,15,413,0,"BQUA","20.09.15",75252,75279,75312,75298,250834,5275,1,1,1,"SEEB - TRIE",99345,2088,1542,4762,3457,27
"798",14,1,"20.09.15",2021,2,7,465,0,"BERN","20.09.15",40902,40924,40926,40995,8,1215,0,"HIRS","20.09.15",40974,41062,41004,41075,250768,5275,1,1,1,"SEEB - TRIE",99317,2276,1532,5188,3402,88
"799",63,1,"20.09.15",10521,5,4,3760,20,"HALO","20.09.15",76332,76416,76350,76425,5,2069,20,"RIEG","20.09.15",76368,76453,76386,76461,23346,2784,7,1,7,"BOER - SCHW Mutation auf Li 062",93541,2451,2468,5618,5659,85
"800",62,2,"20.09.15",10535,4,13,767,11,"EINF","20.09.15",66468,66503,66492,66519,14,2968,21,"ZEHN","20.09.15",66546,66602,66564,66618,23281,15081,2,1,2,"SCHW - UAFF",93851,2457,1845,5636,4136,56
"801",61,2,"20.09.15",10535,4,5,888,21,"FRIA","20.09.15",76518,76516,76536,76523,6,694,21,"DORF","20.09.15",76572,76565,76596,76565,23289,15096,2,1,2,"SCHW - MUEH",93851,2463,2460,5650,5644,-7
"802",33,1,"24.09.15",10171,2,5,2367,1,"RIGI","24.09.15",21246,21410,21258,21411,6,2164,10,"SCHZ","24.09.15",21318,21500,21330,21500,352937,11792,5,1,5,"KFLU - TRIE",103255,2260,2861,5145,6824,182
"803",5,2,"23.09.15",2095,2,7,3026,0,"ENGE","23.09.15",30186,30499,30216,30528,8,2055,1,"RENT","23.09.15",30288,30610,30330,30624,350086,4520,4,1,4,"LAUB - KFLU",103955,1893,2814,4253,6714,322
"804",10,1,"23.09.15",3076,2,21,1399,0,"KINK","23.09.15",68010,68100,68028,68111,22,2367,0,"RIGI","23.09.15",68070,68165,68106,68179,46269,3747,1,1,1,"FRAF - GESS",90993,2292,2260,5233,5147,95
"805",10,2,"23.09.15",3070,3,28,3027,1,"FLUG07","23.09.15",40752,40750,40776,40774,29,6232,3,"FRAF07","23.09.15",40872,40888,40872,41330,46288,12798,4,1,4,"GESS - FRAF Mutation auf Li 12",91371,588,373,1299,827,16
"806",2,1,"23.09.15",3002,3,1,821,0,"FARB","23.09.15",27810,27826,27810,27826,2,137,0,"BACH","23.09.15",27864,27879,27882,27894,349613,4399,1,1,1,"FARB - BTIE",104474,1310,2818,2859,6728,15
"807",5,1,"23.09.15",2093,1,12,2795,0,"WAFF","23.09.15",41850,41860,41874,41876,13,2771,0,"SIHN","23.09.15",41916,41921,41946,41943,350056,4519,3,1,3,"KFLU - LAUB",103687,2781,2183,6619,4993,5
