,linie,richtung,betriebsdatum,fahrzeug,kurs,seq_von,halt_diva_von,halt_punkt_diva_von,halt_kurz_von1,datum_von,soll_an_von,ist_an_von,soll_ab_von,ist_ab_von,seq_nach,halt_diva_nach,halt_punkt_diva_nach,halt_kurz_nach1,datum_nach,soll_an_nach,ist_an_nach1,soll_ab_nach,ist_ab_nach,fahrt_id,fahrweg_id,fw_no,fw_typ,fw_kurz,fw_lang,umlauf_von,halt_id_von,halt_id_nach,halt_punkt_id_von,halt_punkt_id_nach,arrivelate
5705,17,2,25.09.15,3014,7,17,592,1,BAEN,25.09.15,50958,51031,50976,51043,18,2872,0,WERD,25.09.15,51036,51114,51036,51415,368059,4374,2,1,2,GESS - WERD,104739,2538,2772,5881,6600,78
5706,78,1,25.09.15,10257,1,6,1570,22,LIND,25.09.15,71964,71942,72006,71981,7,542,20,BRIS,25.09.15,72030,72012,72048,72012,353160,4268,1,1,1,DUNK - BAEN,104446,2535,2533,5869,5863,-18
5707,78,1,25.09.15,10251,1,1,716,20,DUNK,25.09.15,35640,35642,35640,35642,2,2152,20,SALZ,25.09.15,35682,35656,35694,35665,353120,4268,1,1,1,DUNK - BAEN,104446,2532,2546,5861,5906,-26
5708,75,1,25.09.15,10517,1,1,1275,23,SEPL,25.09.15,42210,42229,42210,42229,2,2346,21,SEEB,25.09.15,42264,42271,42294,42287,83749,13282,51,1,51,SEPL - BOEN neue Fz.,91346,1934,1596,4359,9366,7
5709,67,2,25.09.15,10604,3,14,2152,21,SALZ,25.09.15,42102,42101,42114,42108,15,716,20,DUNK,25.09.15,42156,42155,42156,42490,82857,4780,12,1,12,SWIE - DUNK (Aufenthalt),94343,2546,2532,5907,5861,-1
5710,6,1,25.09.15,2108,8,6,2788,0,VOLT,25.09.15,73872,73899,73890,73905,7,1889,0,PLAT,25.09.15,73956,73997,73992,74010,365820,4560,3,1,3,ZOO - GESS,103981,2766,2799,6582,6667,41
5711,9,2,25.09.15,2086,4,4,2638,1,TALW,25.09.15,59490,59469,59514,59484,5,1012,1,GOLP,25.09.15,59556,59554,59592,59569,366249,5115,4,1,4,TRIE - HIRZ,103607,2627,701,5993,1558,-2
5712,9,1,25.09.15,2086,4,6,2294,0,SCHW,25.09.15,44850,44858,44892,44879,7,2326,0,SCHO,25.09.15,44952,44967,44976,44979,366244,5112,1,1,1,HIRZ - HEUR,103607,1501,2046,9150,4640,15
5713,9,2,25.09.15,3053,3,16,1359,1,KANT,25.09.15,30636,30906,30660,30926,17,736,2,ETHZ,25.09.15,30756,31030,30792,31051,366213,5115,4,1,4,TRIE - HIRZ,103337,2571,1308,6282,2837,274
5714,9,2,25.09.15,2086,4,21,1550,1,LETZ,25.09.15,73368,73404,73392,73414,22,1507,1,LANM,25.09.15,73428,73458,73446,73466,366253,5113,2,1,2,HEUR - HIRZ,103607,2274,2315,5182,5293,30
